,mae,rmse,precision,recall,f1-score
cosine,0.6647784229539824,0.7278438715615996,0.1345087175585992,0.3667543013498263,0.19682940441563848
jaccard,0.6965633333963799,0.760517738142523,0.13635754898309582,0.3352215770460177,0.18511802391393067
pearson,0.6647784229539824,0.7278438715615996,0.1345087175585992,0.3667543013498263,0.19682940441563848
pip,0.6647784229539824,0.7278438715615996,0.1345087175585992,0.3667543013498263,0.19682940441563848
mpip,0.5535107462818306,0.6172570974636379,0.5046478008164185,0.4766507158934009,0.47609038779753327
